X_param,Y
"(10, 10)","[0.00023446, 0.02110573]"
"(10, 11)","[0.01109714, 0.14520056]"
"(10, 12)","[0.01109714, 0.52522685]"
"(10, 13)","[0.00161303, 0.01109714]"
"(10, 14)","[0.01109714, 0.07634472]"
"(10, 15)","[0.00084811, 0.01109714]"
"(10, 16)","[0.01109714, 0.52522685]"
"(10, 17)","[0.00023446, 0.02110573]"
"(10, 18)","[0.00012328, 0.02110573]"
"(10, 19)","[0.01109714, 0.14520056]"
"(10, 20)","[0.01109714, 0.14520056]"
"(10, 21)","[0.01109714, 0.14520056]"
"(10, 22)","[0.00306784, 0.02110573]"
"(10, 23)","[0.00044593, 0.02110573]"
"(10, 24)","[0.00306784, 0.02110573]"
"(10, 25)","[0.00012328, 0.01109714]"
"(10, 26)","[0.01109714, 0.14520056]"
"(10, 27)","[0.00044593, 0.02110573]"
"(10, 28)","[0.00012328, 0.01109714]"
"(10, 29)","[0.00306784, 0.02110573]"
"(10, 30)","[0.00012328, 0.02110573]"
"(10, 31)","[0.00084811, 0.01109714]"
"(10, 32)","[0.00044593, 0.02110573]"
"(10, 33)","[0.01109714, 0.52522685]"
"(10, 34)","[0.01109714, 0.99893269]"
"(10, 35)","[0.00044593, 0.02110573]"
"(10, 36)","[0.00012328, 0.00161303]"
"(10, 37)","[0.00012328, 0.02110573]"
"(10, 38)","[0.01109714, 0.14520056]"
"(10, 39)","[0.00023446, 0.02110573]"
"(10, 40)","[0.00012328, 0.02110573]"
"(10, 41)","[0.00044593, 0.02110573]"
"(10, 42)","[0.00306784, 0.02110573]"
"(10, 43)","[0.01109714, 0.52522685]"
"(10, 44)","[0.01109714, 0.14520056]"
"(11, 0)","[0.00023446, 0.01109714]"
"(11, 1)","[0.00583474, 0.52522685]"
"(11, 2)","[0.00012328, 0.01109714]"
"(11, 3)","[0.00084811, 0.01109714]"
"(11, 4)","[0.00012328, 0.00583474]"
"(11, 5)","[0.00023446, 0.01109714]"
"(11, 6)","[0.00023446, 0.01109714]"
"(11, 7)","[0.00084811, 0.01109714]"
"(11, 8)","[0.00583474, 0.52522685]"
"(11, 9)","[0.00161303, 0.01109714]"
"(11, 10)","[0.00023446, 0.01109714]"
"(11, 11)","[0.00012328, 0.02110573]"
"(11, 12)","[0.00583474, 0.99893269]"
"(11, 13)","[0.00012328, 0.01109714]"
"(11, 14)","[0.00012328, 0.00583474]"
"(11, 15)","[0.00012328, 0.00583474]"
"(11, 16)","[0.00012328, 0.00583474]"
"(11, 17)","[0.00012328, 0.01109714]"
"(11, 18)","[0.00583474, 0.99893269]"
"(11, 19)","[0.00583474, 0.27615799]"
"(11, 20)","[0.00023446, 0.01109714]"
"(11, 21)","[0.00044593, 0.01109714]"
"(11, 22)","[0.00012328, 0.00583474]"
"(11, 23)","[0.00023446, 0.01109714]"
"(11, 24)","[0.00044593, 0.01109714]"
"(11, 25)","[0.00012328, 0.00583474]"
"(11, 26)","[0.00583474, 0.99893269]"
"(11, 27)","[0.00306784, 0.52522685]"
"(11, 28)","[0.00583474, 0.52522685]"
"(11, 29)","[0.00044593, 0.01109714]"
"(11, 30)","[0.00023446, 0.01109714]"
"(11, 31)","[0.00044593, 0.01109714]"
"(11, 32)","[0.00084811, 0.01109714]"
"(11, 33)","[0.00044593, 0.01109714]"
"(11, 34)","[0.00012328, 0.00583474]"
"(11, 35)","[0.00012328, 0.01109714]"
"(11, 36)","[0.00012328, 0.00084811]"
"(11, 37)","[0.00023446, 0.01109714]"
"(11, 38)","[0.00012328, 0.01109714]"
"(11, 39)","[0.00012328, 0.00583474]"
"(11, 40)","[0.00044593, 0.01109714]"
"(11, 41)","[0.00084811, 0.01109714]"
"(11, 42)","[0.00583474, 0.99893269]"
"(11, 43)","[0.00012328, 0.01109714]"
"(11, 44)","[0.00583474, 0.27615799]"
"(12, 0)","[0.000123278087, 0.145200562]"
"(12, 1)","[0.00012328, 0.04014114]"
"(12, 2)","[0.00044593, 0.04014114]"
"(12, 3)","[0.000123278087, 0.145200562]"
"(12, 4)","[0.00012328, 0.02110573]"
"(12, 5)","[0.00161303, 0.14520056]"
"(12, 6)","[0.02110573, 0.14520056]"
"(12, 7)","[0.00023446, 0.04014114]"
"(12, 8)","[0.000123278087, 0.145200562]"
"(12, 9)","[0.00044593, 0.14520056]"
"(12, 10)","[0.00161303, 0.04014114]"
"(12, 11)","[0.00044593, 0.02110573]"
"(12, 12)","[0.00161303, 0.14520056]"
"(12, 13)","[0.00084811, 0.02110573]"
"(12, 14)","[0.000123278087, 0.145200562]"
"(12, 15)","[0.00023446, 0.07634472]"
"(12, 16)","[0.00161303, 0.07634472]"
"(12, 17)","[0.00044593, 0.04014114]"
"(12, 18)","[0.00023446, 0.07634472]"
"(12, 19)","[0.00012328, 0.07634472]"
"(12, 20)","[0.00044593, 0.07634472]"
"(12, 21)","[0.00161303, 0.02110573]"
"(12, 22)","[0.00161303, 0.07634472]"
"(12, 23)","[0.00161303, 0.02110573]"
"(12, 24)","[0.00084811, 0.02110573]"
"(12, 25)","[0.00023446, 0.14520056]"
"(12, 26)","[0.00012328, 0.02110573]"
"(12, 27)","[0.00084811, 0.02110573]"
"(12, 28)","[0.00012328, 0.02110573]"
"(12, 29)","[0.00023446, 0.14520056]"
"(12, 30)","[0.00044593, 0.14520056]"
"(12, 31)","[0.00161303, 0.14520056]"
"(12, 32)","[0.00012328, 0.07634472]"
"(12, 33)","[0.01109714, 0.14520056]"
"(12, 34)","[0.00084811, 0.02110573]"
"(12, 35)","[0.00044593, 0.14520056]"
"(12, 36)","[0.00012328, 0.00161303]"
"(12, 37)","[0.00023446, 0.02110573]"
"(12, 38)","[0.00084811, 0.02110573]"
"(12, 39)","[0.00161303, 0.14520056]"
"(12, 40)","[0.00084811, 0.02110573]"
"(12, 41)","[0.00084811, 0.07634472]"
"(12, 42)","[0.00012328, 0.04014114]"
"(12, 43)","[0.00306784, 0.02110573]"
"(12, 44)","[0.00012328, 0.02110573]"
"(13, 0)","[0.00012328, 0.00012328]"
"(13, 1)","[0.00012328, 0.00012328]"
"(13, 2)","[0.00012328, 0.00012328]"
"(13, 3)","[0.00012328, 0.00012328]"
"(13, 4)","[0.00012328, 0.00012328]"
"(13, 5)","[0.00012328, 0.00012328]"
"(13, 6)","[0.00012328, 0.00012328]"
"(13, 7)","[0.00012328, 0.00012328]"
"(13, 8)","[0.00012328, 0.00012328]"
"(13, 9)","[0.00012328, 0.00012328]"
"(13, 10)","[0.00012328, 0.00012328]"
"(13, 11)","[0.00012328, 0.00012328]"
"(13, 12)","[0.00012328, 0.00012328]"
"(13, 13)","[0.00012328, 0.00012328]"
"(13, 14)","[0.00012328, 0.00012328]"
"(13, 15)","[0.00012328, 0.00012328]"
"(13, 16)","[0.00012328, 0.00012328]"
"(13, 17)","[0.00012328, 0.00012328]"
"(13, 18)","[0.00012328, 0.00012328]"
"(13, 19)","[0.00012328, 0.00012328]"
"(13, 20)","[0.00012328, 0.00012328]"
"(13, 21)","[0.00012328, 0.00012328]"
"(13, 22)","[0.00012328, 0.00012328]"
"(13, 23)","[0.00012328, 0.00012328]"
"(13, 24)","[0.00012328, 0.00012328]"
"(13, 25)","[0.00012328, 0.00012328]"
"(13, 26)","[0.00012328, 0.00012328]"
"(13, 27)","[0.00012328, 0.00012328]"
"(13, 28)","[0.00012328, 0.00012328]"
"(13, 29)","[0.00012328, 0.00012328]"
"(13, 30)","[0.00012328, 0.00012328]"
"(13, 31)","[0.00012328, 0.00012328]"
"(13, 32)","[0.00012328, 0.00012328]"
"(13, 33)","[0.00012328, 0.00012328]"
"(13, 34)","[0.00012328, 0.00012328]"
"(13, 35)","[0.00012328, 0.00012328]"
"(13, 36)","[0.00012328, 0.00012328]"
"(13, 37)","[0.00012328, 0.00012328]"
"(13, 38)","[0.00012328, 0.00012328]"
"(13, 39)","[0.00012328, 0.00012328]"
"(13, 40)","[0.00012328, 0.00012328]"
"(13, 41)","[0.00012328, 0.00012328]"
"(13, 42)","[0.00012328, 0.00012328]"
"(13, 43)","[0.00012328, 0.00012328]"
"(13, 44)","[0.00012328, 0.00012328]"
"(15, 0)","[0.00012328, 0.04014114]"
"(15, 1)","[0.00012328, 0.02110573]"
"(15, 2)","[0.00023446, 0.04014114]"
"(15, 3)","[0.04014114, 0.99893269]"
"(15, 4)","[0.00084811, 0.02110573]"
"(15, 5)","[0.00044593, 0.04014114]"
"(15, 6)","[0.00084811, 0.02110573]"
"(15, 7)","[0.00012328, 0.02110573]"
"(15, 8)","[0.01109714, 0.04014114]"
"(15, 9)","[0.00023446, 0.02110573]"
"(15, 10)","[0.00044593, 0.04014114]"
"(15, 11)","[0.00044593, 0.02110573]"
"(15, 12)","[0.00044593, 0.04014114]"
"(15, 13)","[0.00012328, 0.04014114]"
"(15, 14)","[0.02110573, 0.99893269]"
"(15, 15)","[0.00161303, 0.04014114]"
"(15, 16)","[0.00012328, 0.04014114]"
"(15, 17)","[0.00012328, 0.02110573]"
"(15, 18)","[0.00161303, 0.02110573]"
"(15, 19)","[0.00012328, 0.02110573]"
"(15, 20)","[0.00084811, 0.01109714]"
"(15, 21)","[0.00023446, 0.01109714]"
"(15, 22)","[0.00044593, 0.01109714]"
"(15, 23)","[0.00023446, 0.01109714]"
"(15, 24)","[0.01109714, 0.52522685]"
"(15, 25)","[0.00044593, 0.01109714]"
"(15, 26)","[0.04014114, 0.99893269]"
"(15, 27)","[0.00044593, 0.04014114]"
"(15, 28)","[0.00023446, 0.04014114]"
"(15, 29)","[0.00012328, 0.04014114]"
"(15, 30)","[0.00012328, 0.04014114]"
"(15, 31)","[0.00023446, 0.04014114]"
"(15, 32)","[0.00023446, 0.02110573]"
"(15, 33)","[0.00023446, 0.02110573]"
"(15, 34)","[0.00161303, 0.01109714]"
"(15, 35)","[0.00044593, 0.04014114]"
"(15, 36)","[0.00012328, 0.00161303]"
"(15, 37)","[0.00084811, 0.04014114]"
"(15, 38)","[0.00023446, 0.02110573]"
"(15, 39)","[0.00084811, 0.04014114]"
"(15, 40)","[0.00023446, 0.02110573]"
"(15, 41)","[0.00023446, 0.04014114]"
"(15, 42)","[0.00084811, 0.02110573]"
"(15, 43)","[0.02110573, 0.07634472]"
"(15, 44)","[0.00161303, 0.01109714]"
"(18, 0)","[0.00012328, 0.00583474]"
"(18, 1)","[0.00012328, 0.00583474]"
"(18, 2)","[0.00012328, 0.01109714]"
"(18, 3)","[0.00012328, 0.01109714]"
"(18, 4)","[0.00012328, 0.00583474]"
"(18, 5)","[0.00012328, 0.00583474]"
"(18, 6)","[0.00583474, 0.52522685]"
"(18, 7)","[0.00023446, 0.02110573]"
"(18, 8)","[0.00023446, 0.02110573]"
"(18, 9)","[0.00012328, 0.00306784]"
"(18, 10)","[0.00012328, 0.01109714]"
"(18, 11)","[0.00012328, 0.00583474]"
"(18, 12)","[0.00012328, 0.00583474]"
"(18, 13)","[0.00012328, 0.00583474]"
"(18, 14)","[0.00012328, 0.00583474]"
"(18, 15)","[0.00012328, 0.00583474]"
"(18, 16)","[0.00012328, 0.00583474]"
"(18, 17)","[0.00012328, 0.02110573]"
"(18, 18)","[0.00023446, 0.01109714]"
"(18, 19)","[0.00012328, 0.01109714]"
"(18, 20)","[0.00012328, 0.00583474]"
"(18, 21)","[0.00012328, 0.00306784]"
"(18, 22)","[0.00012328, 0.01109714]"
"(18, 23)","[0.00012328, 0.00583474]"
"(18, 24)","[0.00012328, 0.00583474]"
"(18, 25)","[0.00012328, 0.00583474]"
"(18, 26)","[0.00023446, 0.01109714]"
"(18, 27)","[0.00012328, 0.01109714]"
"(18, 28)","[0.00012328, 0.00583474]"
"(18, 29)","[0.00023446, 0.01109714]"
"(18, 30)","[0.00023446, 0.01109714]"
"(18, 31)","[0.00012328, 0.00161303]"
"(18, 32)","[0.00012328, 0.00583474]"
"(18, 33)","[0.00583474, 0.27615799]"
"(18, 34)","[0.00012328, 0.01109714]"
"(18, 35)","[0.00012328, 0.00583474]"
"(18, 36)","[0.00012328, 0.00161303]"
"(18, 37)","[0.00012328, 0.00583474]"
"(18, 38)","[0.00012328, 0.00583474]"
"(18, 39)","[0.00012328, 0.00583474]"
"(18, 40)","[0.00012328, 0.00583474]"
"(18, 41)","[0.00012328, 0.00583474]"
"(18, 42)","[0.00012328, 0.00583474]"
"(18, 43)","[0.00044593, 0.02110573]"
"(18, 44)","[0.00044593, 0.01109714]"
"(19, 0)","[0.00044593, 0.04014114]"
"(19, 1)","[0.00023446, 0.04014114]"
"(19, 2)","[0.00084811, 0.04014114]"
"(19, 3)","[0.00161303, 0.04014114]"
"(19, 4)","[0.00023446, 0.02110573]"
"(19, 5)","[0.00044593, 0.04014114]"
"(19, 6)","[0.00044593, 0.04014114]"
"(19, 7)","[0.00012328, 0.04014114]"
"(19, 8)","[0.00044593, 0.04014114]"
"(19, 9)","[0.00161303, 0.04014114]"
"(19, 10)","[0.00044593, 0.04014114]"
"(19, 11)","[0.00012328, 0.04014114]"
"(19, 12)","[0.00084811, 0.04014114]"
"(19, 13)","[0.00084811, 0.04014114]"
"(19, 14)","[0.00306784, 0.04014114]"
"(19, 15)","[0.00084811, 0.04014114]"
"(19, 16)","[0.00044593, 0.04014114]"
"(19, 17)","[0.00012328, 0.04014114]"
"(19, 18)","[0.00161303, 0.04014114]"
"(19, 19)","[0.00044593, 0.04014114]"
"(19, 20)","[0.00084811, 0.04014114]"
"(19, 21)","[0.00044593, 0.04014114]"
"(19, 22)","[0.00023446, 0.04014114]"
"(19, 23)","[0.00084811, 0.04014114]"
"(19, 24)","[0.00012328, 0.04014114]"
"(19, 25)","[0.00012328, 0.07634472]"
"(19, 26)","[0.00012328, 0.04014114]"
"(19, 27)","[0.00012328, 0.04014114]"
"(19, 28)","[0.00161303, 0.04014114]"
"(19, 29)","[0.00084811, 0.04014114]"
"(19, 30)","[0.00044593, 0.04014114]"
"(19, 31)","[0.00012328, 0.04014114]"
"(19, 32)","[0.00023446, 0.04014114]"
"(19, 33)","[0.00161303, 0.04014114]"
"(19, 34)","[0.00161303, 0.04014114]"
"(19, 35)","[0.00012328, 0.04014114]"
"(19, 36)","[0.00012328, 0.00161303]"
"(19, 37)","[0.00023446, 0.04014114]"
"(19, 38)","[0.00044593, 0.04014114]"
"(19, 39)","[0.00044593, 0.02110573]"
"(19, 40)","[0.00012328, 0.04014114]"
"(19, 41)","[0.00023446, 0.04014114]"
"(19, 42)","[0.00012328, 0.04014114]"
"(19, 43)","[0.00044593, 0.04014114]"
"(19, 44)","[0.00306784, 0.04014114]"
"(20, 0)","[0.00012328, 0.01109714]"
"(20, 1)","[0.00084811, 0.01109714]"
"(20, 2)","[0.00012328, 0.02110573]"
"(20, 3)","[0.00023446, 0.01109714]"
"(20, 4)","[0.00012328, 0.00583474]"
"(20, 5)","[0.00084811, 0.01109714]"
"(20, 6)","[0.00583474, 0.27615799]"
"(20, 7)","[0.00583474, 0.52522685]"
"(20, 8)","[0.00012328, 0.01109714]"
"(20, 9)","[0.00084811, 0.01109714]"
"(20, 10)","[0.00012328, 0.02110573]"
"(20, 11)","[0.00583474, 0.99893269]"
"(20, 12)","[0.00012328, 0.00044593]"
"(20, 13)","[0.00012328, 0.00583474]"
"(20, 14)","[0.00583474, 0.99893269]"
"(20, 15)","[0.00012328, 0.01109714]"
"(20, 16)","[0.00012328, 0.00583474]"
"(20, 17)","[0.00023446, 0.01109714]"
"(20, 18)","[0.00023446, 0.01109714]"
"(20, 19)","[0.00012328, 0.01109714]"
"(20, 20)","[0.00044593, 0.01109714]"
"(20, 21)","[0.00012328, 0.00583474]"
"(20, 22)","[0.00023446, 0.01109714]"
"(20, 23)","[0.00023446, 0.01109714]"
"(20, 24)","[0.00044593, 0.01109714]"
"(20, 25)","[0.00012328, 0.00583474]"
"(20, 26)","[0.00583474, 0.99893269]"
"(20, 27)","[0.00012328, 0.00583474]"
"(20, 28)","[0.00012328, 0.01109714]"
"(20, 29)","[0.00012328, 0.02110573]"
"(20, 30)","[0.00012328, 0.01109714]"
"(20, 31)","[0.00023446, 0.01109714]"
"(20, 32)","[0.00012328, 0.01109714]"
"(20, 33)","[0.00012328, 0.01109714]"
"(20, 34)","[0.00012328, 0.00583474]"
"(20, 35)","[0.00044593, 0.02110573]"
"(20, 36)","[0.00012328, 0.00161303]"
"(20, 37)","[0.00012328, 0.01109714]"
"(20, 38)","[0.00012328, 0.01109714]"
"(20, 39)","[0.00012328, 0.01109714]"
"(20, 40)","[0.00012328, 0.00583474]"
"(20, 41)","[0.00012328, 0.01109714]"
"(20, 42)","[0.00012328, 0.01109714]"
"(20, 43)","[0.00084811, 0.01109714]"
"(20, 44)","[0.00012328, 0.00306784]"
"(21, 0)","[0.00023446, 0.02110573]"
"(21, 1)","[0.01109714, 0.14520056]"
"(21, 2)","[0.00084811, 0.02110573]"
"(21, 3)","[0.00084811, 0.02110573]"
"(21, 4)","[0.00012328, 0.01109714]"
"(21, 5)","[0.00012328, 0.02110573]"
"(21, 6)","[0.00044593, 0.02110573]"
"(21, 7)","[0.01109714, 0.27615799]"
"(21, 8)","[0.00044593, 0.02110573]"
"(21, 9)","[0.00044593, 0.02110573]"
"(21, 10)","[0.00023446, 0.02110573]"
"(21, 11)","[0.00012328, 0.02110573]"
"(21, 12)","[0.00023446, 0.02110573]"
"(21, 13)","[0.00012328, 0.02110573]"
"(21, 14)","[0.00012328, 0.02110573]"
"(21, 15)","[0.00012328, 0.02110573]"
"(21, 16)","[0.01109714, 0.52522685]"
"(21, 17)","[0.00012328, 0.02110573]"
"(21, 18)","[0.01109714, 0.99893269]"
"(21, 19)","[0.01109714, 0.14520056]"
"(21, 20)","[0.01109714, 0.99893269]"
"(21, 21)","[0.00023446, 0.02110573]"
"(21, 22)","[0.00012328, 0.02110573]"
"(21, 23)","[0.00161303, 0.02110573]"
"(21, 24)","[0.01109714, 0.27615799]"
"(21, 25)","[0.00023446, 0.02110573]"
"(21, 26)","[0.00023446, 0.02110573]"
"(21, 27)","[0.00012328, 0.01109714]"
"(21, 28)","[0.00012328, 0.02110573]"
"(21, 29)","[0.00023446, 0.02110573]"
"(21, 30)","[0.00044593, 0.02110573]"
"(21, 31)","[0.00044593, 0.02110573]"
"(21, 32)","[0.00023446, 0.02110573]"
"(21, 33)","[0.01109714, 0.27615799]"
"(21, 34)","[0.01109714, 0.99893269]"
"(21, 35)","[0.00023446, 0.02110573]"
"(21, 36)","[0.00012328, 0.00161303]"
"(21, 37)","[0.00084811, 0.01109714]"
"(21, 38)","[0.00161303, 0.02110573]"
"(21, 39)","[0.00044593, 0.02110573]"
"(21, 40)","[0.00044593, 0.02110573]"
"(21, 41)","[0.00583474, 0.99893269]"
"(21, 42)","[0.00012328, 0.02110573]"
"(21, 43)","[0.01109714, 0.99893269]"
"(21, 44)","[0.00161303, 0.02110573]"
"(22, 0)","[0.00044593, 0.00583474]"
"(22, 1)","[0.00044593, 0.01109714]"
"(22, 2)","[0.00044593, 0.00583474]"
"(22, 3)","[0.00012328, 0.01109714]"
"(22, 4)","[0.00161303, 0.01109714]"
"(22, 5)","[0.00023446, 0.01109714]"
"(22, 6)","[0.00023446, 0.01109714]"
"(22, 7)","[0.00084811, 0.00583474]"
"(22, 8)","[0.00084811, 0.00583474]"
"(22, 9)","[0.00161303, 0.00583474]"
